2.74,1,0,25,1,1,2.04,APROVADO,ACI1A
0.4,1,0,25,2,1,2.04,REPROVADO,BAIXO
1.09,1,0,25,3,1,2.04,REPROVADO,BAIXO
3.58,1,0,25,4,1,2.04,APROVADO,ACI1A
1.73,1,0,25,5,1,2.04,REPROVADO,BAIXO
3.14,1,0,25,6,1,2.04,APROVADO,ACI1A
0.98,1,0,25,7,1,2.04,REPROVADO,BAIXO
2.32,1,0,25,8,1,2.04,APROVADO,ACI1A
3.23,1,0,25,9,1,2.04,APROVADO,ACI1A
3.72,1,0,25,10,1,2.04,APROVADO,ACI1A
1.6,1,0,25,11,1,2.04,REPROVADO,BAIXO
2.49,1,0,25,12,1,2.04,APROVADO,ACI1A
3.84,1,0,25,13,1,2.04,APROVADO,ACI1A
2.23,1,0,25,14,1,2.04,APROVADO,ACI1A
3.55,1,0,25,15,1,2.04,APROVADO,ACI1A
3.02,1,0,25,16,1,2.04,APROVADO,ACI1A
0.55,2,0,25,1,1,2.08,REPROVADO,BAIXO
0.38,2,0,25,2,1,2.08,REPROVADO,BAIXO
0.63,2,0,25,3,1,2.08,REPROVADO,BAIXO
1.77,2,0,25,4,1,2.08,REPROVADO,BAIXO
3.66,2,0,25,5,1,2.08,APROVADO,ACI1A
3.14,2,0,25,6,1,2.08,APROVADO,ACI1A
2.93,2,0,25,7,1,2.08,APROVADO,ACI1A
0.76,2,0,25,8,1,2.08,REPROVADO,BAIXO
0.48,2,0,25,9,1,2.08,REPROVADO,BAIXO
0.58,2,0,25,10,1,2.08,REPROVADO,BAIXO
3.84,2,0,25,11,1,2.08,APROVADO,ACI1A
0.93,2,0,25,12,1,2.08,REPROVADO,BAIXO
3.29,2,0,25,13,1,2.08,APROVADO,ACI1A
0.37,2,0,25,14,1,2.08,REPROVADO,BAIXO
2.4,2,0,25,15,1,2.08,APROVADO,ACI1A
1.33,2,0,25,16,1,2.08,REPROVADO,BAIXO
3.66,3,0,25,1,1,2.05,APROVADO,ACI1A
2.48,3,0,25,2,1,2.05,APROVADO,ACI1A
2.39,3,0,25,3,1,2.05,APROVADO,ACI1A
3.3,3,0,25,4,1,2.05,APROVADO,ACI1A
0.53,3,0,25,5,1,2.05,REPROVADO,BAIXO
0.23,3,0,25,6,1,2.05,REPROVADO,BAIXO
2.49,3,0,25,7,1,2.05,APROVADO,ACI1A
2.08,3,0,25,8,1,2.05,APROVADO,ACI1A
2.08,3,0,25,9,1,2.05,APROVADO,ACI1A
3.91,3,0,25,10,1,2.05,APROVADO,ACI1A
0.11,3,0,25,11,1,2.05,REPROVADO,BAIXO
3.02,3,0,25,12,1,2.05,APROVADO,ACI1A
2.07,3,0,25,13,1,2.05,APROVADO,ACI1A
0.77,3,0,25,14,1,2.05,REPROVADO,BAIXO
1.19,3,0,25,15,1,2.05,REPROVADO,BAIXO
2.97,3,0,25,16,1,2.05,APROVADO,ACI1A
6.8,4,0,25,1,1,7.45,APROVADO,BAIXO
5.99,4,0,25,2,1,7.45,REPROVADO,BAIXO
8.66,4,0,25,3,1,7.45,APROVADO,ACI1A
9.26,4,0,25,4,1,7.45,APROVADO,ACI1A
6.85,4,0,25,5,1,7.45,APROVADO,BAIXO
6.23,4,0,25,6,1,7.45,APROVADO,BAIXO
6.63,4,0,25,7,1,7.45,APROVADO,BAIXO
9.2,4,0,25,8,1,7.45,APROVADO,ACI1A
8.61,4,0,25,9,1,7.45,APROVADO,ACI1A
5.26,4,0,25,10,1,7.45,REPROVADO,BAIXO
8.98,4,0,25,11,1,7.45,APROVADO,ACI1A
9.69,4,0,25,12,1,7.45,APROVADO,ACI1A
8.27,4,0,25,13,1,7.45,APROVADO,ACI1A
5.26,4,0,25,14,1,7.45,REPROVADO,BAIXO
7.75,4,0,25,15,1,7.45,APROVADO,ACI1A
9.76,4,0,25,16,1,7.45,APROVADO,ACI1A
2.69,1,0,17,1,1,2.04,APROVADO,ACI1A
4,1,0,17,2,1,2.04,APROVADO,ACI1A
0.59,1,0,17,3,1,2.04,REPROVADO,BAIXO
0.71,1,0,17,4,1,2.04,REPROVADO,BAIXO
1.23,1,0,17,5,1,2.04,REPROVADO,BAIXO
4,1,0,17,6,1,2.04,APROVADO,ACI1A
0.19,1,0,17,7,1,2.04,REPROVADO,BAIXO
1.14,1,0,17,8,1,2.04,REPROVADO,BAIXO
0.43,1,0,17,9,1,2.04,REPROVADO,BAIXO
0.62,1,0,17,10,1,2.04,REPROVADO,BAIXO
3.82,1,0,17,11,1,2.04,APROVADO,ACI1A
3.75,1,0,17,12,1,2.04,APROVADO,ACI1A
0.81,1,0,17,13,1,2.04,REPROVADO,BAIXO
1.47,1,0,17,14,1,2.04,REPROVADO,BAIXO
0.46,1,0,17,15,1,2.04,REPROVADO,BAIXO
1.8,1,0,17,16,1,2.04,REPROVADO,BAIXO
0.7,2,0,17,1,1,2.08,REPROVADO,BAIXO
2.53,2,0,17,2,1,2.08,APROVADO,ACI1A
1.59,2,0,17,3,1,2.08,REPROVADO,BAIXO
1.14,2,0,17,4,1,2.08,REPROVADO,BAIXO
2.26,2,0,17,5,1,2.08,APROVADO,ACI1A
1.34,2,0,17,6,1,2.08,REPROVADO,BAIXO
2.34,2,0,17,7,1,2.08,APROVADO,ACI1A
0.8,2,0,17,8,1,2.08,REPROVADO,BAIXO
2.19,2,0,17,9,1,2.08,APROVADO,ACI1A
3.57,2,0,17,10,1,2.08,APROVADO,ACI1A
3.84,2,0,17,11,1,2.08,APROVADO,ACI1A
3.04,2,0,17,12,1,2.08,APROVADO,ACI1A
2.36,2,0,17,13,1,2.08,APROVADO,ACI1A
2.94,2,0,17,14,1,2.08,APROVADO,ACI1A
0.89,2,0,17,15,1,2.08,REPROVADO,BAIXO
1.85,2,0,17,16,1,2.08,REPROVADO,BAIXO
3.82,3,0,17,1,1,2.05,APROVADO,ACI1A
